item_id,name,star,score_taste,score_environment,score_service,cost,review_count,item_type
shop_00001,2号唐厨(优托邦店),4.147569826259072,3.2111282164064217,3.48097646800088,2.8997140972069495,105.8764367816092,4547,餐厅
shop_00002,MR.PING醉鹅记(长隆大石店),4.704861111111111,3.7222222222222223,3.5243055555555554,3.6944444444444446,70.0,288,餐厅
shop_00003,SKY NO.1空中一号,3.9194868391948683,2.891838088918381,3.3861977438619775,2.9199292191992923,190.0801652892562,4521,餐厅
shop_00004,东海海鲜酒家(流花店),4.4013353115727005,3.4339762611275964,3.5237388724035608,3.4013353115727,136.4927536231884,1348,餐厅
shop_00005,丽的面家(多宝路店),3.8008130081300813,2.94579945799458,2.8021680216802167,2.692411924119241,37.827044025157235,738,餐厅
shop_00006,九大簋家宴,4.085106382978723,3.0106382978723403,2.851063829787234,3.0531914893617023,49.130434782608695,94,餐厅
shop_00007,乡下饭庄,4.115015974440895,3.1757188498402558,3.1054313099041533,2.9808306709265175,65.88421052631578,313,餐厅
shop_00008,云腾沙锅粥,3.775,3.0045454545454544,2.0522727272727272,2.2227272727272727,51.761670761670764,880,餐厅
shop_00009,五号茶居,4.245614035087719,3.2017543859649122,3.5350877192982457,3.543859649122807,213.02777777777777,114,餐厅
shop_00010,仙溪美食农庄,4.3415453527435615,3.3673012318029114,2.7793952967525195,3.241881298992161,46.8,893,餐厅
shop_00011,任点港式茶点(曜一城店),5.0,4.0,4.0,4.0,,4,餐厅
shop_00012,佩服-冰镇 捞起 桑拿 火锅,4.850187265917603,3.801498127340824,3.6591760299625467,3.865168539325843,87.41538461538461,267,餐厅
shop_00013,侨美食家(沙面总店),4.1822698744769875,3.2730125523012554,3.193776150627615,3.0036610878661087,118.72572402044293,3824,餐厅
shop_00014,先先宏记碳火菜,4.782383419689119,3.7927461139896375,3.3575129533678756,3.8134715025906734,56.25,193,餐厅
shop_00015,八月翠园(天环广场店),4.340080971659919,3.3097165991902835,3.568825910931174,3.5,216.22702702702702,494,餐厅
